iter	Logloss	Accuracy
402	0.12126639	0.9663551402
403	0.1212463	0.9663551402
404	0.1212149489	0.9663551402
405	0.1211880976	0.9663169941
406	0.1211381057	0.9664695785
407	0.121110958	0.9664695785
408	0.1207859139	0.966660309
409	0.1207680123	0.9666984551
410	0.1207032155	0.9668128934
411	0.1207003668	0.9667747473
412	0.1206624539	0.9667366012
413	0.1206590051	0.9666984551
414	0.1206387533	0.9667366012
415	0.1204844447	0.9666984551
416	0.1204767584	0.9666984551
417	0.120448986	0.9666984551
418	0.1204158358	0.9668891856
419	0.1204139482	0.9668510395
420	0.1203502483	0.9668891856
421	0.1202721453	0.9669654778
422	0.120267197	0.9670036239
423	0.1201213833	0.9671180622
424	0.120113397	0.9671180622
425	0.1201102073	0.9671180622
426	0.1200718055	0.9671180622
427	0.1200301342	0.9671943544
428	0.1199442674	0.9671562083
429	0.1199393472	0.9671562083
430	0.1199089331	0.9672325005
431	0.1198778288	0.9672325005
432	0.119842309	0.9673087927
433	0.1197365864	0.9673087927
434	0.1195386523	0.9672706466
435	0.119524685	0.9673087927
436	0.119519259	0.9673087927
437	0.119426155	0.9673087927
438	0.1194244079	0.9673087927
439	0.1194088547	0.9673087927
440	0.1194081324	0.9673087927
441	0.1194079642	0.9673087927
442	0.1194075395	0.9673087927
443	0.1194031778	0.9673087927
444	0.1191985411	0.9672706466
445	0.1191815789	0.9674613771
446	0.119180936	0.9674613771
447	0.1191593852	0.9675376693
448	0.1191298088	0.9675376693
449	0.1191271038	0.9675376693
450	0.1191247739	0.9675376693
451	0.1191001944	0.9675758154
452	0.1190976079	0.9675758154
453	0.1190957799	0.9675758154
454	0.1190843074	0.9676139615
455	0.1190680347	0.9676139615
456	0.1190309268	0.9675758154
457	0.1190154091	0.9675758154
458	0.11901481	0.9675758154
459	0.1189581634	0.9673850849
460	0.1189504226	0.9673850849
461	0.1189502331	0.9673850849
462	0.1189273499	0.9674613771
463	0.1189034252	0.9674995232
464	0.1187857777	0.9674995232
465	0.1187785777	0.9674995232
466	0.1187748452	0.9674995232
467	0.1187704862	0.9675758154
468	0.1187656643	0.9676139615
469	0.118659972	0.9675758154
470	0.1184640685	0.9674995232
471	0.1184418981	0.9676521076
472	0.1184397221	0.9676521076
473	0.1183794358	0.9676139615
474	0.1183459524	0.9676521076
475	0.1183293325	0.9676902537
476	0.1183106463	0.9676521076
477	0.1183058169	0.9676139615
478	0.1182274448	0.9676902537
479	0.1181359325	0.9678428381
480	0.1181019404	0.9678809842
481	0.1180986986	0.9678809842
482	0.11805429	0.9680335686
483	0.1180508353	0.9680335686
484	0.1180362955	0.9679572764
485	0.1179897333	0.9679954225
486	0.1179865895	0.9679954225
487	0.1179854084	0.9679954225
488	0.1179849149	0.9679954225
489	0.1179762368	0.9680335686
490	0.1179655237	0.9680335686
491	0.1179622991	0.9679954225
492	0.1179321968	0.9679191303
493	0.1179167205	0.9679572764
494	0.117914117	0.9679572764
495	0.1179049359	0.9679572764
496	0.117886233	0.9679191303
497	0.117879602	0.9679572764
498	0.1178749935	0.9679572764
499	0.1178725374	0.9679572764
500	0.117862689	0.9679572764
501	0.1178511975	0.9678809842
502	0.11784553	0.9678809842
503	0.1175744562	0.967804692
504	0.1175718154	0.967804692
505	0.1175671625	0.967804692
506	0.1174633078	0.9679191303
507	0.1174371733	0.9679191303
508	0.1174316924	0.9679191303
509	0.1173764203	0.967804692
510	0.1173751865	0.967804692
511	0.1173736276	0.967804692
512	0.1173727235	0.967804692
513	0.1173635287	0.967804692
514	0.1173536234	0.967804692
515	0.1173434299	0.967804692
516	0.1173351002	0.9678428381
517	0.1173318805	0.967804692
518	0.11723041	0.967804692
519	0.117228773	0.967804692
520	0.11721611	0.9678428381
521	0.1171709377	0.9678809842
522	0.1170750257	0.9679954225
523	0.1170738825	0.9679954225
524	0.117025238	0.9681098608
525	0.1169829504	0.9681098608
526	0.1169510985	0.9682624452
527	0.116944359	0.968186153
528	0.1169258995	0.9681480069
529	0.116839464	0.9681098608
530	0.1168389869	0.9681098608
531	0.1168377938	0.9681098608
532	0.1168303921	0.9681480069
533	0.1168292693	0.9681480069
534	0.1168271135	0.968186153
535	0.1167996815	0.9682624452
536	0.1167989997	0.9682624452
537	0.1167944173	0.9683005913
538	0.1167904415	0.9683005913
539	0.1167786281	0.9683005913
540	0.1167113089	0.9684150296
541	0.116555707	0.9684150296
542	0.1163077372	0.9684150296
543	0.1162661892	0.9684150296
544	0.1162648924	0.9684150296
545	0.1162641135	0.9684150296
546	0.1162453163	0.9684913218
547	0.1162436674	0.9684913218
548	0.1162312318	0.9685294679
549	0.1162228454	0.9684150296
550	0.1162012609	0.9683005913
551	0.1161963585	0.9683387374
552	0.1161930033	0.9683387374
553	0.1161330097	0.9683387374
554	0.1161277294	0.9683005913
555	0.1161230146	0.9683005913
556	0.1160364866	0.9683005913
557	0.1160053738	0.9683005913
558	0.1159973085	0.9683005913
559	0.115807918	0.9684913218
560	0.1157285813	0.9683768835
561	0.1157210793	0.9683768835
562	0.1156961181	0.9683768835
563	0.1156745195	0.9684531757
564	0.1156135446	0.9684531757
565	0.1155558579	0.968567614
566	0.1155202656	0.9686057601
567	0.1154003902	0.9686439062
568	0.1153811303	0.9686439062
569	0.1153126024	0.9686439062
570	0.1153007423	0.9686057601
571	0.1152454502	0.9686439062
572	0.1152387872	0.9686439062
573	0.1152168143	0.9686439062
574	0.1152020046	0.9686439062
575	0.1152004278	0.9686439062
576	0.1151833268	0.9686820523
577	0.1151771841	0.9686820523
578	0.1151760992	0.9686820523
